Order_ID,Date,Product,Region,Quantity,Sales,Profit,Category,City,Customer_Type,Discount_Percent,Sales_Channel,Payment_Method
2175,2025-01-01,Sparklers (10 pcs),Chennai,26,1264,433,Sparklers,Avadi,Wholesale,19,Shop,Cash
2443,2025-01-01,Flower Pots (5 pcs),South TN,1,176,58,Ground,Tirunelveli,Retail,2,Shop,UPI
2113,2025-01-02,Bijili Crackers (100),West TN,5,588,202,Sound,Tiruppur,Retail,2,Phone/WhatsApp,Cash
2511,2025-01-02,Flower Pots (5 pcs),North TN,1,173,52,Ground,Trichy,Retail,4,Online,UPI
2751,2025-01-02,Lakshmi Vedi (10 pcs),South TN,25,1732,362,Sound,Ramanathapuram,Wholesale,23,Shop,Cash
3090,2025-01-02,Family Gift Box,Other States,23,31050,7878,Gift Box,Kochi,Gifting,10,Shop,UPI
3293,2025-01-02,Flower Pots (5 pcs),Chennai,3,535,188,Ground,Chennai,Retail,1,Online,Cash
3405,2025-01-03,Rockets (10 pcs),West TN,11,2154,739,Aerial,Salem,Gifting,11,Phone/WhatsApp,UPI
2240,2025-01-04,Atom Bomb (10 pcs),West TN,25,3200,687,Sound,Salem,Wholesale,20,Shop,Cash
3458,2025-01-04,Deluxe Gift Box,West TN,7,20335,4801,Gift Box,Tiruppur,Wholesale,17,Phone/WhatsApp,Credit
2655,2025-01-05,Ground Chakkar (10 pcs),Chennai,4,538,198,Ground,Avadi,Retail,4,Phone/WhatsApp,UPI
3120,2025-01-05,Family Gift Box,South TN,6,9000,3056,Gift Box,Ramanathapuram,Retail,0,Shop,UPI
3140,2025-01-05,Sky Shot 7 Shot,West TN,5,2205,573,Aerial,Salem,Retail,2,Shop,UPI
3353,2025-01-05,Rockets (10 pcs),North TN,15,2805,936,Aerial,Vellore,Gifting,15,Shop,UPI
2108,2025-01-06,Kids Special Pack,Chennai,31,13330,4870,Gift Box,Kancheepuram,Gifting,14,Shop,UPI
2772,2025-01-06,Deluxe Gift Box,Other States,33,106260,29074,Gift Box,Kochi,Gifting,8,Shop,Cash
3484,2025-01-06,Flower Pots (5 pcs),South TN,6,1048,341,Ground,Madurai,Retail,3,Phone/WhatsApp,UPI
2260,2025-01-07,Sparklers (10 pcs),Chennai,2,118,43,Sparklers,Chennai,Retail,2,Shop,Cash
2967,2025-01-07,Lakshmi Vedi (10 pcs),South TN,2,175,50,Sound,Virudhunagar,Retail,3,Shop,Cash
2382,2025-01-08,Ground Chakkar (10 pcs),West TN,3,412,130,Ground,Tiruppur,Retail,2,Online,UPI
2539,2025-01-08,Sparklers (10 pcs),South TN,52,2402,714,Sparklers,Thoothukudi,Wholesale,23,Shop,Cash
3204,2025-01-08,Multi Shot 30 Shot,Other States,8,7296,1717,Aerial,Bengaluru,Wholesale,24,Online,Cash
3272,2025-01-09,Lakshmi Vedi (10 pcs),North TN,6,540,184,Sound,Trichy,Retail,0,Shop,UPI
2370,2025-01-10,Sparklers (10 pcs),South TN,61,2855,760,Sparklers,Thoothukudi,Wholesale,22,Phone/WhatsApp,Cash
2609,2025-01-10,Atom Bomb (10 pcs),South TN,5,776,263,Sound,Thoothukudi,Retail,3,Shop,UPI
2823,2025-01-10,Ground Chakkar (10 pcs),South TN,3,403,128,Ground,Thoothukudi,Retail,4,Shop,UPI
2082,2025-01-11,Rockets (10 pcs),West TN,23,4402,1527,Aerial,Tiruppur,Gifting,13,Shop,Cash
2387,2025-01-11,Kids Special Pack,South TN,2,980,348,Gift Box,Thoothukudi,Retail,2,Shop,UPI
3220,2025-01-11,Family Gift Box,Chennai,39,53235,12484,Gift Box,Avadi,Gifting,9,Phone/WhatsApp,Credit
3446,2025-01-11,Fancy Fountain,North TN,2,686,219,Fancy,Thanjavur,Retail,2,Shop,Cash
3095,2025-01-12,Sparklers (10 pcs),Chennai,5,288,90,Sparklers,Avadi,Retail,4,Shop,UPI
3172,2025-01-13,Ground Chakkar (10 pcs),South TN,3,403,135,Ground,Ramanathapuram,Retail,4,Phone/WhatsApp,Cash
2075,2025-01-14,Sparklers (10 pcs),South TN,166,6872,2248,Sparklers,Virudhunagar,Dealer,31,Phone/WhatsApp,Credit
2140,2025-01-14,Multi Shot 30 Shot,Chennai,35,28980,6155,Aerial,Tambaram,Dealer,31,Shop,UPI
2369,2025-01-14,Rockets (10 pcs),West TN,4,862,329,Aerial,Coimbatore,Retail,2,Online,UPI
2510,2025-01-14,Flower Pots (5 pcs),West TN,93,12388,3213,Ground,Salem,Dealer,26,Shop,Card
2679,2025-01-14,Deluxe Gift Box,Other States,1,3465,970,Gift Box,Kochi,Retail,1,Phone/WhatsApp,UPI
